㑮 𫝈
㑯 㑔
㑳 㑇
㑶 㐹
㒓 𠉂
㓄 𪠟
㓨 刾
㔋 𪟎
㖮 𪠵
㗲 𠵾
㗿 𪡛
㘉 𠰱
㘓 𪢌
㘔 𫬐
㘚 㘎
㛝 𫝦
㜄 㚯
㜏 㛣
㜐 𫝧
㜗 𡞋
㜢 𡞱
㜷 𡝠
㞞 𪨊
㟺 𪩇
㠏 㟆
㠣 𫵷
㢗 𪪑
㢝 𢋈
㥮 㤘
㦎 𢛯
㦛 𢗓
㦞 𪫷
㨻 𪮃
㩋 𪮋
㩜 㨫
㩳 㧐
㩵 擜
㪎 𪯋
㯤 𣘐
㰙 𣗙
㵗 𣳆
㵾 𪷍
㶆 𫞛
㷍 𤆢
㷿 𤈷
㸇 𤎺
㹽 𫞣
㺏 𤠋
㺜 𪺻
㻶 𪼋
㿖 𪽮
㿗 𤻊
㿧 𤽯
䀉 𥁢
䀹 𥅴
䁪 𥇢
䁻 䀥
䂎 𥎝
䃮 鿎
䅐 𫀨
䅳 𫀬
䆉 𫁂
䉑 𫁲
䉙 𥬀
䉬 𫂈
䉲 𥮜
䉶 𫁷
䊭 𥺅
䊷 䌶
䊺 𫄚
䋃 𫄜
䋔 𫄞
䋙 䌺
䋚 䌻
䋦 𫄩
䋹 䌿
䋻 䌾
䋼 𫄮
䋿 𦈓
䌈 𦈖
䌋 𦈘
䌖 𦈜
䌝 𦈟
䌟 𦈞
䌥 𦈠
䌰 𦈙
䍤 𫅅
䍦 䍠
䍽 𦍠
䎙 𫅭
䎱 䎬
䓣 𬜯
䕤 𫟕
䕳 𦰴
䖅 𫟑
䗅 𫊪
䗿 𧉞
䙔 𫋲
䙡 䙌
䙱 𧜭
䚩 𫌯
䛄 𫍠
䛳 𫍫
䜀 䜧
䜖 𫟢
䝭 𫎧
䝻 𧹕
䝼 䞍
䞈 𧹑
䞋 𫎪
䞓 𫎭
䟃 𫎺
䟆 𫎳
䟐 𫎱
䠆 𫏃
䠱 𨅛
䡐 𫟤
䡩 𫟥
䡵 𫟦
䢨 𨑹
䤤 𫟺
䥄 𫠀
䥇 䦂
䥑 鿏
䥕 𬭯
䥗 𫔋
䥩 𨱖
䥯 𫔆
䥱 䥾
䦘 𨸄
䦛 䦶
䦟 䦷
䦯 𫔵
䦳 𨷿
䧢 𨸟
䪊 𫖅
䪏 𩏼
䪗 𩐀
䪘 𩏿
䪴 𫖫
䪾 𫖬
䫀 𫖱
䫂 𫖰
䫟 𫖲
䫴 𩖗
䫶 𫖺
䫻 𫗇
䫾 𫠈
䬓 𫗊
䬘 𩙮
䬝 𩙯
䬞 𩙧
䬧 𫗟
䭀 𩠇
䭃 𩠈
䭑 𫗱
䭔 𫗰
䭿 𩧭
䮄 𫠊
䮝 𩧰
䮞 𩨁
䮠 𩧿
䮫 𩨇
䮰 𫘮
䮳 𩨏
䮾 𩧪
䯀 䯅
䯤 𩩈
䰾 鲃
䱀 𫚐
䱁 𫚏
䱙 𩾈
䱧 𫚠
䱬 𩾊
䱰 𩾋
䱷 䲣
䱸 𫠑
䱽 䲝
䲁 鳚
䲅 𫚜
䲖 𩾂
䲘 鳤
䲰 𪉂
䳜 𫛬
䳢 𫛰
䳤 𫛮
䳧 𫛺
䳫 𫛼
䴉 鹮
䴋 𫜅
䴬 𪎈
䴱 𫜒
䴴 𪎋
䴽 𫜔
䵳 𪑅
䵴 𫜙
䶕 𫜨
䶲 𫜳
俓 𠇹
俔 伣
俥 伡
俬 私
倈 俫
倲 㑈
偑 㐽
僤 𫢸
儎 傤
儣 𠆲
儭 𠋆
儸 㑩
冑 胄
凙 𪞝
剾 𠛅
劏 㓥
劚 㔉
卽 即
叄 叁
哯 𠯟
唓 𪠳
喎 㖞
嗰 𠮶
嗹 𪡏
嘓 啯
嘪 𪡃
嘳 𪡞
嘺 𪡀
嘽 啴
噚 㖊
噞 𪡋
嚛 𪠸
嚧 𠰷
嚲 亸
嚽 𪢕
囃 𠱞
囒 𪢠
圞 𪢮
垻 坝
埨 𫭢
埬 𪣆
埰 采
堚 𪣒
塸 𫭟
塿 𪣻
墠 𫮃
墰 坛
墲 𪢸
墶 垯
壈 𡒄
壋 垱
壗 𡋤
壠 垅
壣 𪤚
壪 塆
壼 壸
奼 姹
娙 𫰛
婡 𫝫
媈 𫝨
媰 㛀
嬀 妫
嬃 媭
嬇 𫝬
嬣 𪥰
嬦 𫝩
嬻 𪥿
孄 𫝮
孆 𫝭
孇 𪥫
孋 㛤
孎 𡠟
孻 𡥧
孾 𪧀
寠 𪧘
屓 屃
屩 𪨗
嵼 𡶴
嵽 𫶇
嵾 㟥
嶈 𡺃
嶘 𡺄
嶮 崄
嶹 𫝵
巊 𪩎
巘 𪩘
幓 㡎
幝 𪩷
幩 𪩸
廞 𫷷
廧 𪪞
彃 𪪼
彄 𫸩
彔 录
彠 彟
彲 彨
徿 𪫌
悞 悮
愻 𢙏
慺 㥪
憖 慭
憢 𢙒
憸 𪫺
憹 𢙐
懀 𢙓
懎 𢠁
懤 㤽
戱 戯
挩 捝
捱 挨
掆 㧏
掚 𪭵
揯 搄
搵 揾
摋 𢫬
摐 𪭢
撊 𪭾
撝 㧑
撧 𪮖
擓 㧟
擟 𪭧
擫 𢬍
擽 㧰
攋 𪮶
敎 教
敓 敚
斅 𢽾
斆 敩
斸 𣃁
旣 既
晛 𬀪
暐 𬀩
曊 𪰶
曥 𣆐
曨 昽
朥 𦛨
朮 术
枴 拐
柺 拐
桱 𣐕
梖 𪱷
梜 𬂩
梲 棁
棡 㭎
棶 梾
椲 㭏
楇 𣒌
榲 榅
槤 梿
槫 𣏢
槮 椮
槶 椢
樠 𣗊
樢 㭤
樤 𣔌
樧 榝
樫 㭴
樳 桪
樿 椫
橯 𣓿
檟 槚
檭 𣘴
檮 梼
檵 𪲛
櫅 𪲎
櫍 𬃊
櫠 𪲮
櫱 蘖
欅 榉
欇 𪳍
欍 𣐤
欐 𪲔
欑 𪴙
欓 𣗋
欘 𣚚
殢 𣨼
殨 㱮
殰 㱩
毊 𪵑
氭 𣱝
浿 𬇙
涗 涚
湋 𣲗
溡 𪶄
漍 𬇹
潕 𣲘
潙 沩
潚 㴋
潣 𫞗
澅 𣶩
澐 沄
澫 𬇕
澬 𫞚
澾 㳠
濄 㳡
濆 𣸣
濚 溁
濧 㳔
濿 𪵱
瀂 澛
瀃 𣽷
瀇 㲿
灍 𫞝
灒 𪷽
灙 𣺼
灡 㳕
煱 㶽
熂 𪸕
熅 煴
熉 𤈶
熌 𤇄
熓 𤆡
熚 𤇹
熡 𤋏
熰 𬉼
熲 颎
燀 𬊤
燖 𬊈
燶 㶶
爃 𫞡
爄 𤇃
爇 𦶟
爖 𤇭
爥 𪹳
爧 𫞠
犞 𪺭
猌 𪺽
獊 𪺷
獩 𤞃
獮 狝
獱 㺍
玁 𤞤
珼 𫞥
瑒 玚
瑻 𪻲
瑽 𪻐
璊 𫞩
璕 𬍤
璗 𬍡
璝 𪻺
璫 珰
璯 㻅
璵 玙
璸 瑸
璼 𫞨
璾 𫞦
瓄 𪻨
瓅 𬍛
瓕 𤦀
